service_date,day_type,bus,rail_boardings,total_rides
01-01-2001,U,"2,97,192","1,26,455","4,23,647"
01-02-2001,W,"7,80,827","5,01,952","12,82,779"
01-03-2001,W,"8,24,923","5,36,432","13,61,355"
01-04-2001,W,"8,70,021","5,50,011","14,20,032"
01-05-2001,W,"8,90,426","5,57,917","14,48,343"
01-06-2001,A,"5,77,401","2,55,356","8,32,757"
01-07-2001,U,"3,75,831","1,69,825","5,45,656"
01-08-2001,W,"9,85,221","5,90,706","15,75,927"
01-09-2001,W,"9,78,377","5,99,905","15,78,282"
01-10-2001,W,"9,84,884","6,02,052","15,86,936"
01-11-2001,W,"9,95,561","6,07,503","16,03,064"
01-12-2001,W,"10,18,985","6,05,252","16,24,237"
01/13/2001,A,"5,91,791","2,70,056","8,61,847"
01/14/2001,U,"3,73,091","1,74,842","5,47,933"
01/15/2001,W,"6,75,845","4,12,149","10,87,994"
01/16/2001,W,"10,24,367","6,22,163","16,46,530"
01/17/2001,W,"10,18,690","6,20,343","16,39,033"
01/18/2001,W,"10,06,996","6,18,832","16,25,828"
01/19/2001,W,"9,09,964","5,83,851","14,93,815"
01/20/2001,A,"5,82,348","2,63,815","8,46,163"
01/21/2001,U,"3,78,381","1,72,107","5,50,488"
01/22/2001,W,"10,05,936","5,98,777","16,04,713"
01/23/2001,W,"10,19,983","6,10,352","16,30,335"
01/24/2001,W,"9,91,661","6,06,835","15,98,496"
01/25/2001,W,"10,04,257","6,09,877","16,14,134"
01/26/2001,W,"9,65,324","5,97,039","15,62,363"
01/27/2001,A,"5,90,836","2,68,078","8,58,914"
01/28/2001,U,"3,68,819","1,74,434","5,43,253"
01/29/2001,W,"9,53,532","5,87,052","15,40,584"
01/30/2001,W,"9,82,046","6,07,858","15,89,904"
01/31/2001,W,"9,99,392","6,10,508","16,09,900"
02-01-2001,W,"10,54,608","6,15,268","16,69,876"
02-02-2001,W,"9,66,701","5,77,767","15,44,468"
02-03-2001,A,"6,11,703","2,63,612","8,75,315"
02-04-2001,U,"4,04,212","1,78,398","5,82,610"
02-05-2001,W,"10,45,944","6,00,588","16,46,532"
02-06-2001,W,"10,39,393","6,12,435","16,51,828"
